descricao,sigla,id
RESTABELECIMENTO SAO MIGUEL PTA,DOFS,316
SINALIZACAO PREVENTIVA-SAO MIGUEL PTA,DOFS,317
TELECOMUNICACOES BRAS,DOFS,318
RESTABELECIMENTO TELECOMUNICACOES BRAS,DOFS,319
TELECOMUNICACOES RADIO/SOM/CRON/BLOQ BRAS,DOFS,320
CIM - BRAS,DOFS,428
CIM - CONTROLE DE OPERACOES ELETRICAS - COE,DOFS,429
"CIM - CONTROLE, REGISTRO E ACOMPANHAMENTO DE FALHAS",DOFS,430
RESTABELECIMENTO CCO BRAS,DOFS,431
OFICINA DE SINALIZACAO,DOFS,432
RESTABELECIMENTO BRAS,DOFS,433
RESTABELECIMENTO CALMON VIANA,DOFS,434
EQUIPE DE IMPLANTACAO DE SINALIZACAO E TELECOM,DOFS,442
RESTABELECIMENTO BARRA FUNDA,DOFS,568
SINALIZACAO PREVENTIVA CARAPICUIBA,DOFS,569
RESTABELECIMENTO JURUBATUBA,DOFS,570
EQUIPE SISTEMAS OPERACIONAIS,DOGB,4
DEPTO DE ENGENHARIA DE BILHETAGEM E ENERGIA ELETRICA,DOGB,181
EQUIPE DE GESTAO DE ENERGIA ELETRICA,DOGB,193
EQUIPE DE BILHETAGEM E EQPTOS AUD DE ESTACOES,DOGB,194
DEPTO DE ENGENHARIA DE ESTACOES E COMUNICACAO,DOGC,80
EQUIPE COMUNICACAO VISUAL,DOGC,81
EQUIPE DE ACESSIBILIDADE,DOGC,186
EQ DE PROJ E PROC DE INFRA ESTRUTURAS DE ESTACOES,DOGC,192
EQUIPE DE RELACOES HUMANAS E CONTROLE DE ACOES TRABALHISTAS,DOGC,224
EQUIPE DE PROJ E PROC ORG CONTR E LOG ESTACOES,DOGC,225
DEPTO DE ENGENHARIA DE SISTEMAS E EQUIPAMENTOS,DOGI,180
EQUIPE DE ESTUDOS OPERACIONAIS E PLANOS DE CONTINGENCIA,DOGI,221
EQUIPE DE DOCUMENTACAO TECNICA,DOGI,222
EQUIPE DE GESTAO,DOGI,223
DEPARTAMENTO DE ALMOXARIFADOS,DOLA,104
EQUIPE DE ALMOXARIFADO - LAPA,DOLA,105
EQUIPE DE ALMOXARIFADO - PRESIDENTE ALTINO,DOLA,511
EQUIPE DE CADASTRO,DOLM,106
EQUIPE DE CONTRATOS,DOLM,107
EQUIPE DE MATERIAIS,DOLM,108
EQUIPE DE INVENTARIO PERMANENTE,DOLM,478
EQUIPE DE FUNDO FIXO,DOLM,494
EQUIPE DE PESQUISA DE PRECO,DOLM,495
EQUIPE DE PLANEJAMENTO ESTRATEGICO,DOLM,496
EQUIPE DE UNIFORMES,DOLM,497
DEPARTAMENTO DE GESTAO E CADASTRO DE MATERIAIS,DOLM,509
DEPARTAMENTO DE RELACIONAMENTO COM O PASSAGEIRO,DOOP,510
EQUIPE APOIO A GESTAO DE ORCAMENTO,DOPC,35
